text,label
这个电影太好看了，剧情紧凑又感人,1
包装很精致，物流也很快,1
客服回复很耐心，问题很快解决了,1
这次体验非常满意，下次还会再来,1
产品质量不错，和描述基本一致,1
画面很漂亮，音乐也很好听,1
老师讲得很清楚，例子也很实用,1
手机运行很流畅，电池也耐用,1
这家餐厅味道很好，环境也舒服,1
价格合理，性价比很高,1
更新之后功能更好用了,1
整体效果超出预期,1
收到货很惊喜，没有让我失望,1
这本书内容扎实，读完收获很大,1
安装简单，使用起来很顺手,1
服务态度很好，处理速度也快,1
这个电影太无聊了，看到一半就不想看了,0
包装破损严重，体验很差,0
客服一直不回复，问题也没有解决,0
这次购物很失望，不会再买了,0
产品质量很差，和描述完全不一样,0
画面卡顿，声音也很刺耳,0
课程讲得很混乱，听完还是不懂,0
手机发热严重，电池掉得很快,0
这家餐厅味道一般，服务也不好,0
价格偏高，完全不值,0
更新之后反而更难用了,0
整体效果低于预期,0
收到货很失望，有明显瑕疵,0
这本书内容很空，读起来很浪费时间,0
安装过程麻烦，使用体验也不好,0
服务态度很差，处理速度太慢,0
